prompt,content_word,style_word,seed,use_quantile,iou_threshold,iou_baseline_mean,iou_baseline_std,support_a_baseline,support_b_baseline,support_intersection_baseline,support_union_baseline,iou_baseline_cs_mean,iou_baseline_cs_std,support_a_baseline_cs,support_b_baseline_cs,support_intersection_baseline_cs,support_union_baseline_cs,iou_score,support_content,support_style,support_intersection,support_union
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,True,0.5,0.43543763416154047,0.18952449047034675,0.5000006811959403,0.5000003814697266,0.2904988970075335,0.7095021656581334,0.36844208889773916,0.1736918641042661,0.5000006811959403,0.5000003405979702,0.25725105830601286,0.7427499634878976,0.17065134644508362,0.5000009536743164,0.5,0.14577484130859375,0.8542261123657227
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,False,0.6,0.17007517333009414,0.2193390749037193,0.06358299255371094,0.19902986798967634,0.017951175144740514,0.24466168539864677,0.09211206176717367,0.1322538569845584,0.09380749293736049,0.23963873726981028,0.030732086726597378,0.3027141434805734,0.03473116084933281,0.20946788787841797,0.2420339584350586,0.015154838562011719,0.43634700775146484
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,True,0.6,0.35667743001665386,0.19909999612358453,0.40000114440917967,0.40000108991350447,0.19691557203020368,0.6030866622924804,0.29247369803488255,0.18318135795303733,0.40000104904174805,0.4000007765633719,0.16857903344290598,0.631422792162214,0.10260804742574692,0.40000057220458984,0.40000057220458984,0.0744476318359375,0.7255535125732422
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,False,0.7,0.14574677060341595,0.21157264440226553,0.03280241830008371,0.08423876081194197,0.005573654174804687,0.11146752493722098,0.05788727417322142,0.10130933341468988,0.047429561614990234,0.10585056032453265,0.009292193821498327,0.14398792811802455,0.01955769956111908,0.10664558410644531,0.10703277587890625,0.0040988922119140625,0.2095794677734375
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,True,0.7,0.2901003412561425,0.19662202346118718,0.30000040871756417,0.30000057220458987,0.1237468991960798,0.4762540817260742,0.23238634374450026,0.17986062734309657,0.3000004632132394,0.30000100816999165,0.10313796997070312,0.4968635014125279,0.05989972874522209,0.3000001907348633,0.3000020980834961,0.033908843994140625,0.5660934448242188
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,False,0.8,0.10754354462426688,0.18368364581120605,0.011665425981794085,0.02575432913643973,0.0012597220284598215,0.036160033089773995,0.028683212244816656,0.06958061436880059,0.01655306134905134,0.03411449704851423,0.001716477530343192,0.04895108086722238,0.0025365366600453854,0.03600883483886719,0.03673839569091797,0.00018405914306640625,0.07256317138671875
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,True,0.8,0.24095519197040371,0.18671313154632824,0.20000106266566686,0.20000108991350446,0.07037339891706194,0.32962875366210936,0.18943405044930323,0.16588410845221313,0.2000011716570173,0.20000110353742326,0.05750622068132673,0.3424960545131138,0.032633475959300995,0.20000171661376953,0.20000076293945312,0.012640953063964844,0.3873615264892578
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,False,0.9,0.06640642743025507,0.14765529896099716,0.002060999189104353,0.003889656066894531,0.00012910025460379464,0.005821555001395089,0.010938630572387151,0.03943979341209988,0.0028818675449916293,0.005266870771135602,0.00012969970703125,0.008019038609095983,0.0,0.006374359130859375,0.0054378509521484375,0.0,0.011812210083007812
a painting of a person in the Analytical Cubism style,person,Analytical Cubism,2,True,0.9,0.2173520473098116,0.20175471958919913,0.10000059945242745,0.10000057220458984,0.031521851675851004,0.1684793199811663,0.15406586708767073,0.15572007725001807,0.10000058582850865,0.10000079018729073,0.0237579345703125,0.1762434414454869,0.0180535726249218,0.10000038146972656,0.10000133514404297,0.0035467147827148438,0.1964550018310547
a painting of a person in the Art Nouveau style,person,Art Nouveau,3,False,0.1,0.9711072513035366,0.018732391296642368,0.9768316268920898,0.9914420536586217,0.969723401750837,0.9985502787998745,0.9694848018033164,0.01612713564131665,0.9808559417724609,0.9859859602791923,0.9681924411228725,0.9986494609287807,0.9644556045532227,0.9871196746826172,0.9773359298706055,0.9644556045532227,1.0
